2024/02/04 16:04:20 [notice] 1#1: using the "epoll" event method
2024/02/04 16:04:20 [notice] 1#1: nginx/1.25.3
2024/02/04 16:04:20 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r10) 
2024/02/04 16:04:20 [notice] 1#1: OS: Linux 5.15.133.1-microsoft-standard-WSL2
2024/02/04 16:04:20 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/02/04 16:04:20 [notice] 1#1: start worker processes
2024/02/04 16:04:20 [notice] 1#1: start worker process 29
2024/02/04 16:04:20 [notice] 1#1: start worker process 30
2024/02/04 16:04:20 [notice] 1#1: start worker process 31
2024/02/04 16:04:20 [notice] 1#1: start worker process 32
2024/02/04 16:04:20 [notice] 1#1: start worker process 33
2024/02/04 16:04:20 [notice] 1#1: start worker process 34
2024/02/04 16:04:20 [notice] 1#1: start worker process 35
2024/02/04 16:04:20 [notice] 1#1: start worker process 36
2024/02/04 16:04:20 [notice] 1#1: start worker process 37
2024/02/04 16:04:20 [notice] 1#1: start worker process 38
2024/02/04 16:04:20 [notice] 1#1: start worker process 39
2024/02/04 16:04:20 [notice] 1#1: start worker process 40
2024/02/04 16:04:20 [notice] 1#1: start worker process 41
2024/02/04 16:04:20 [notice] 1#1: start worker process 42
2024/02/04 16:04:20 [notice] 1#1: start worker process 43
2024/02/04 16:04:20 [notice] 1#1: start worker process 44
2024/02/04 16:04:20 [notice] 1#1: start worker process 45
2024/02/04 16:04:20 [notice] 1#1: start worker process 46
2024/02/04 16:04:20 [notice] 1#1: start worker process 47
2024/02/04 16:04:20 [notice] 1#1: start worker process 48
